"monthyr","Q"
"196307",2.34858064516129
"196308",3.18783870967742
"196309",4.1611
"196310",5.10670967741935
"196311",6.85203333333333
"196312",1.74596774193548
"196401",2.4558064516129
"196402",1.70262068965517
"196403",2.21429032258064
"196404",2.1531
"196405",3.04267741935484
"196406",1.36016666666667
"196407",1.60477419354839
"196408",3.40812903225806
"196409",4.07663333333333
"196410",2.85338709677419
"196411",4.01263333333333
"196412",6.19809677419355
"196501",6.71103225806452
"196502",1.12178571428571
"196503",2.59293548387097
"196504",2.95826666666667
"196505",1.75051612903226
"196506",2.21753333333333
"196507",1.9801935483871
"196508",2.82316129032258
"196509",4.69926666666667
"196510",4.83345161290323
"196511",3.25626666666667
"196512",6.73712903225806
"196601",4.03332258064516
"196602",6.12917857142857
"196603",4.09590322580645
"196604",2.97473333333333
"196605",2.55732258064516
"196606",2.2792
"196607",0.713516129032258
"196608",1.53429032258065
"196609",3.1241
"196610",2.51183870967742
"196611",3.6962
"196612",7.72212903225806
"196701",4.70467741935484
"196702",5.29007142857143
"196703",6.56906451612903
"196704",1.8503
"196705",2.60274193548387
"196706",0.946933333333333
"196707",1.88548387096774
"196708",1.09383870967742
"196709",2.55616666666667
"196710",8.66606451612903
"196711",3.83253333333333
"196712",2.94754838709677
"196801",4.72961290322581
"196802",3.12558620689655
"196803",3.98451612903226
"196804",1.84926666666667
"196805",2.99741935483871
"196806",0.390366666666667
"196807",1.04383870967742
"196808",0.895096774193548
"196809",3.32063333333333
"196810",6.90261290322581
"196811",4.28713333333333
"196812",2.55329032258065
"196901",3.77529032258065
"196902",1.87128571428571
"196903",0.643709677419355
"196904",0.860066666666667
"196905",1.68725806451613
"196906",1.61896666666667
"196907",0.959838709677419
"196908",0.832709677419355
"196909",1.41853333333333
"196910",2.76970967741936
"196911",6.00616666666667
"196912",4.80651612903226
"197001",4.58467741935484
"197002",6.48635714285714
"197003",1.96025806451613
"197004",3.84333333333333
"197005",1.28967741935484
"197006",0.811866666666667
"197007",2.12532258064516
"197008",1.65145161290323
"197009",4.87286666666667
"197010",6.57822580645161
"197011",9.02263333333333
"197012",3.58274193548387
"197101",4.74587096774194
"197102",5.69885714285714
"197103",2.04045161290323
"197104",1.3791
"197105",0.989193548387097
"197106",0.514333333333333
"197107",0.856064516129032
"197108",1.94906451612903
